Tenure,Complain,DaySinceLastOrder,CashbackAmount,PreferredLoginDevice,PreferredPaymentMode,Gender,PreferedOrderCat,MaritalStatus
5.0,0,13.0,168.06,1,3,0,2,0
9.0,0,0.0,113.93,1,4,1,4,2
5.0,1,6.0,183.55,1,3,0,2,1
11.0,1,5.0,167.84,1,3,1,2,1
7.0,0,1.0,145.08,0,3,1,4,1
0.0,0,3.0,147.74,0,4,0,4,1
6.0,0,2.0,163.92,1,4,1,2,1
5.0,0,2.0,196.1,1,4,1,0,1
29.0,0,1.0,272.32,1,3,1,1,1
1.0,1,3.0,145.7,2,1,0,4,2
30.0,0,4.0,205.12,1,3,1,0,2
10.0,0,9.0,183.1,1,4,1,2,2
9.0,1,0.0,123.07,0,1,1,3,1
28.0,0,4.0,126.62,2,1,1,3,1
11.0,1,0.0,153.81,1,4,1,0,2
1.0,1,3.0,148.73,2,3,1,4,1
0.0,0,2.0,136.69,2,3,1,4,0
2.0,1,2.0,162.94,0,4,1,2,2
14.0,0,1.0,159.48,1,3,0,2,1
3.0,0,9.0,126.13,0,4,1,3,1
11.0,0,8.0,146.15,2,4,0,4,2
0.0,0,2.0,124.22,0,0,0,3,2
1.0,0,1.0,152.16,1,4,0,4,2
5.0,0,9.0,235.31,0,3,0,0,1
21.0,0,0.0,282.65,1,4,1,5,2
8.0,0,3.0,165.33,0,4,1,2,2
20.0,1,8.0,293.72,1,2,0,1,1
31.0,1,3.0,230.52,1,2,0,0,1
0.0,0,2.0,162.32,1,4,1,2,0
4.0,1,4.0,165.83,1,3,0,2,1
9.0,0,5.0,152.28,1,6,0,2,1
6.0,0,1.0,237.44,1,3,1,0,2
6.0,1,8.0,183.8,1,5,1,0,1
0.0,0,2.0,144.0,2,4,1,4,0
11.0,0,8.0,184.93,1,4,1,2,1
6.0,0,5.0,261.84,1,3,0,1,1
2.0,1,9.0,141.87,2,3,1,2,1
16.0,1,11.0,303.61,0,4,1,1,1
30.0,1,2.0,257.87,0,4,1,1,1
12.0,1,1.0,193.61,1,4,1,2,2
15.0,0,11.0,260.7,1,4,0,1,1
29.0,1,3.0,291.59,1,4,0,1,2
1.0,1,3.0,186.34,1,5,1,2,1
1.0,1,3.0,153.75,1,4,1,4,2
12.0,0,6.0,177.49,0,4,1,2,1
16.0,0,1.0,173.41,1,3,1,4,1
28.0,0,9.0,232.39,1,2,0,0,1
11.0,0,2.0,157.45,1,4,1,2,1
9.0,0,5.0,25.0,1,3,1,2,1
2.0,0,7.0,127.0,2,4,1,3,0
9.0,1,2.0,121.74000000000001,0,2,0,3,2
19.0,0,3.0,189.34,0,4,1,2,1
15.0,0,10.0,186.51,0,3,1,2,2
15.0,0,8.0,166.03,0,5,0,2,1
15.0,1,8.0,206.89,1,4,1,0,1
0.0,0,7.0,168.11,1,3,0,2,2
1.0,1,3.0,166.71,1,4,0,2,1
25.0,1,9.0,155.77,1,1,1,2,1
1.0,0,3.0,222.14,1,4,1,2,1
12.0,0,1.0,153.58,1,4,1,4,2
12.0,0,2.0,157.36,0,4,0,2,1
14.0,0,6.0,291.41,1,6,1,5,1
1.0,0,4.0,147.79,2,3,0,4,2
1.0,1,5.0,149.36,2,3,1,4,0
4.0,1,1.0,168.33,1,3,1,2,0
30.0,0,8.0,257.12,0,4,0,1,1
3.0,0,8.0,244.35000000000002,1,3,1,0,0
10.0,0,9.0,183.1,1,4,1,2,2
8.0,0,0.0,153.63,1,3,0,2,0
8.0,1,1.0,147.2,2,4,0,4,0
12.0,0,2.0,139.02,2,6,1,2,1
28.0,0,3.0,209.76,0,4,1,0,0
11.0,1,0.0,178.61,1,4,0,0,2
3.0,1,2.0,147.36,0,1,0,2,0
15.0,1,9.0,201.24,0,4,1,0,1
24.0,1,3.0,293.8,1,4,0,1,1
0.0,0,0.0,132.3,2,0,1,3,2
12.0,0,7.0,176.54,1,5,0,0,1
0.0,0,2.0,132.29,2,1,1,3,0
8.0,0,10.0,178.43,0,3,1,2,2
1.0,0,3.0,147.26,2,1,1,4,1
30.0,1,5.0,297.01,1,3,0,5,0
5.0,0,3.0,166.97,1,4,1,2,1
20.0,0,6.0,271.69,1,3,0,1,1
8.0,0,2.0,144.25,0,3,0,2,2
26.0,0,5.0,156.49,1,4,0,2,1
30.0,0,3.0,324.43,1,2,0,5,1
9.0,0,7.0,121.15,2,4,0,3,2
23.0,0,3.0,289.13,1,6,0,1,1
11.0,0,11.0,235.82,1,2,0,0,1
15.0,0,7.0,149.41,2,3,1,2,1
10.0,0,1.0,193.15,1,4,0,2,2
2.0,0,2.0,146.49,0,4,1,2,1
12.0,0,8.0,193.93,1,4,0,2,1
3.0,0,0.0,126.93,2,4,1,3,1
8.0,0,8.0,143.12,2,5,1,2,2
8.0,1,3.0,154.36,1,4,1,4,2
23.0,0,3.0,191.51,1,1,1,2,0
9.0,0,11.0,132.1,2,4,1,3,0
0.0,1,7.0,123.94,2,4,0,3,2
31.0,0,3.0,148.72,2,4,1,4,1
19.0,0,3.0,189.34,0,4,1,2,0
16.0,0,0.0,207.98000000000002,1,3,1,0,1
0.0,0,1.0,124.0,0,0,1,3,0
18.0,1,4.0,298.59,1,3,1,5,1
14.0,0,11.0,294.19,0,3,1,5,1
1.0,0,1.0,145.33,0,4,0,4,0
26.0,1,10.0,180.77,1,1,1,2,1
9.0,0,7.0,170.94,1,1,0,0,0
12.0,1,4.0,179.05,1,5,0,2,1
1.0,0,3.0,153.19,1,3,1,4,0
9.0,0,0.0,114.19999999999999,1,4,1,4,2
0.0,0,0.0,125.34,2,0,0,3,0
0.0,1,0.0,141.57,2,5,0,2,1
4.0,0,8.0,171.27,1,1,0,2,1
0.0,1,7.0,161.79,1,3,1,2,1
7.0,0,3.0,157.14,1,4,0,2,0
0.0,0,2.0,127.6,2,5,0,3,2
1.0,0,2.0,164.04,1,3,1,4,2
14.0,0,2.0,192.28,0,4,1,2,1
4.0,0,2.0,123.28999999999999,2,4,1,3,1
0.0,1,6.0,136.91,2,1,1,4,1
22.0,0,3.0,167.4,1,4,1,2,2
18.0,0,15.0,123.47999999999999,2,4,1,2,1
8.0,1,4.0,149.3,0,3,1,4,2
17.0,0,9.0,160.39,1,4,1,4,2
7.0,0,3.0,168.2,1,4,1,2,2
15.0,0,11.0,187.3,0,4,1,2,2
29.0,0,7.0,232.12,0,4,0,1,1
27.0,0,3.0,128.97,2,4,0,2,1
0.0,0,4.0,134.79,0,0,1,3,2
0.0,0,3.0,142.56,2,5,1,2,0
3.0,0,1.0,151.42,1,4,1,4,2
6.0,1,3.0,165.78,1,5,1,2,0
8.0,0,6.0,202.21,1,6,1,0,2
13.0,0,7.0,144.48,2,4,0,2,1
11.0,0,2.0,126.84,0,0,1,3,1
17.0,0,1.0,232.98000000000002,1,3,1,0,1
1.0,1,5.0,157.02,1,1,0,4,2
29.0,0,3.0,129.42,0,0,0,3,0
21.0,1,3.0,157.94,1,4,0,4,2
3.0,0,8.0,244.35000000000002,1,3,1,0,1
26.0,0,2.0,124.5,2,4,1,2,2
0.0,1,7.0,161.72,1,4,1,2,0
5.0,0,3.0,261.75,0,3,1,0,1
1.0,0,3.0,171.21,0,4,1,4,0
26.0,0,3.0,229.45,1,4,1,0,2
19.0,0,8.0,173.05,1,6,1,2,1
10.0,0,7.0,142.85,2,3,1,2,1
10.0,0,0.0,129.73,0,0,0,3,0
4.0,0,7.0,175.47,1,5,1,2,1
25.0,1,2.0,232.47000000000003,0,3,0,1,1
3.0,0,2.0,147.79,2,5,0,2,1
10.0,1,1.0,141.97,2,4,1,2,2
30.0,0,0.0,241.18,1,5,1,1,1
5.0,0,3.0,218.55,0,5,1,2,2
11.0,0,8.0,165.71,1,6,1,2,1
1.0,1,3.0,148.73,2,3,1,4,1
23.0,1,0.0,293.31,1,5,1,5,1
3.0,0,9.0,157.75,1,3,0,2,0
13.0,0,3.0,208.76,1,4,0,0,2
0.0,0,8.0,204.0,1,3,1,0,1
3.0,0,3.0,146.57,0,1,0,4,0
5.0,0,2.0,196.1,1,4,1,0,1
9.0,0,0.0,122.9,0,4,1,3,2
21.0,0,8.0,174.6,1,5,1,2,2
1.0,1,3.0,162.22,0,4,1,4,1
5.0,0,9.0,193.12,1,3,0,2,2
24.0,1,1.0,318.31,1,5,1,5,1
9.0,0,0.0,115.13999999999999,0,3,0,4,2
19.0,0,1.0,147.74,2,4,0,4,2
12.0,1,1.0,178.81,1,4,1,0,2
24.0,0,0.0,237.33999999999997,1,3,0,1,2
7.0,0,7.0,154.29,1,3,1,2,0
9.0,0,1.0,137.81,0,4,1,4,1
7.0,1,0.0,197.13,1,4,1,0,1
5.0,0,3.0,212.44,1,3,1,0,2
20.0,0,11.0,186.33,1,3,1,0,2
19.0,0,5.0,146.77,2,3,1,4,2
18.0,0,8.0,267.92,0,3,1,1,1
2.0,0,8.0,199.8,1,4,0,0,1
10.0,0,8.0,146.53,0,3,0,4,2
16.0,0,1.0,173.41,1,3,1,4,1
7.0,0,3.0,143.81,2,3,0,4,2
9.0,0,0.0,122.1,2,4,0,3,0
10.0,0,7.0,188.34,0,3,1,0,1
15.0,0,0.0,167.81,1,6,1,2,2
7.0,0,8.0,144.9,0,4,1,2,1
11.0,0,11.0,235.82,1,2,0,0,0
1.0,0,3.0,173.51,1,4,1,2,1
14.0,0,7.0,141.03,0,5,0,2,1
9.0,0,7.0,122.58000000000001,2,0,1,3,0
24.0,1,10.0,298.47,0,4,1,5,1
17.0,0,1.0,259.0,1,3,1,0,1
7.0,0,3.0,196.19,1,4,1,0,1
9.0,0,8.0,122.06,2,0,1,3,2
12.0,0,3.0,166.98,1,4,0,2,2
19.0,0,7.0,204.53,1,5,0,0,1
1.0,0,1.0,173.34,1,6,1,2,1
25.0,0,2.0,132.12,2,4,0,3,2
6.0,0,8.0,175.1,1,3,1,2,2
1.0,0,1.0,146.27,2,6,1,4,0
1.0,1,3.0,153.86,0,4,0,4,0
1.0,0,8.0,177.94,1,4,1,2,1
0.0,1,2.0,161.34,1,5,1,2,1
21.0,0,7.0,296.69,1,3,0,1,1
28.0,0,10.0,302.79,1,4,1,1,1
3.0,0,1.0,149.51,1,4,1,4,1
8.0,0,8.0,179.29,1,3,1,2,0
1.0,1,3.0,171.14,0,5,0,2,1
1.0,1,3.0,148.79,0,4,0,4,2
1.0,1,3.0,166.71,1,4,0,2,0
5.0,0,2.0,166.67,0,3,0,2,1
3.0,0,4.0,194.19,1,4,0,0,1
9.0,0,2.0,150.59,1,3,0,4,2
6.0,1,7.0,152.07,1,4,1,2,1
2.0,1,9.0,141.87,2,3,1,2,1
27.0,1,5.0,234.33999999999997,1,5,0,0,1
17.0,0,8.0,322.4,1,4,1,5,0
9.0,0,7.0,197.95,1,5,1,0,1
21.0,0,1.0,268.85,0,3,1,1,2
28.0,1,8.0,154.15,1,1,1,2,1
17.0,1,2.0,128.18,2,4,1,3,0
7.0,0,2.0,170.39,0,3,0,2,1
21.0,0,2.0,308.0,1,4,1,5,0
3.0,0,9.0,157.75,1,3,0,2,1
3.0,0,3.0,145.62,2,4,1,4,2
9.0,0,7.0,152.37,1,3,1,2,1
12.0,0,9.0,201.25,1,4,0,2,2
1.0,1,1.0,147.93,2,3,1,4,1
15.0,0,8.0,166.03,0,5,0,2,1
29.0,1,3.0,165.35,1,4,1,2,0
2.0,0,7.0,197.15,1,6,0,2,1
7.0,0,7.0,127.68,2,4,1,3,1
8.0,0,13.0,180.95,1,1,1,0,2
24.0,0,4.0,298.99,1,3,1,1,1
28.0,0,4.0,153.97,1,4,0,2,1
5.0,1,3.0,223.52,0,4,0,0,1
20.0,0,8.0,159.23,1,4,0,4,2
18.0,0,4.0,159.2,1,4,1,4,2
0.0,0,4.0,134.79,0,3,1,3,2
7.0,1,8.0,177.07,1,4,1,2,1
14.0,0,2.0,179.73,1,3,1,2,1
15.0,1,3.0,195.82,1,4,1,0,2
17.0,0,8.0,322.4,1,4,1,5,1
31.0,1,6.0,322.01,1,3,0,5,1
5.0,0,4.0,178.32,0,6,1,2,2
18.0,0,4.0,156.62,0,4,1,4,2
16.0,0,7.0,124.55000000000001,0,4,0,3,2
25.0,1,11.0,323.47,0,4,1,5,1
12.0,0,7.0,199.91,1,3,1,0,1
4.0,0,8.0,168.12,1,3,0,2,2
14.0,1,2.0,160.32,1,3,1,2,2
12.0,1,4.0,161.2,1,4,1,2,0
8.0,0,2.0,123.75999999999999,0,6,1,3,0
14.0,0,3.0,229.35,1,4,0,0,1
0.0,0,2.0,126.1,0,0,1,3,0
5.0,0,3.0,147.18,2,4,1,4,0
8.0,1,3.0,222.13,1,4,1,0,1
22.0,0,3.0,277.02,0,3,1,1,1
18.0,0,8.0,159.06,1,4,0,2,1
12.0,0,2.0,183.76,1,4,0,0,2
1.0,0,3.0,212.93,0,4,1,0,1
6.0,0,8.0,140.37,2,3,1,2,1
15.0,1,3.0,195.82,1,4,1,0,2
29.0,1,9.0,234.01999999999998,1,4,1,1,0
9.0,1,0.0,115.69,0,3,0,4,2
0.0,1,0.0,123.97999999999999,2,0,0,3,1
27.0,0,3.0,195.05,1,3,1,0,1
17.0,0,10.0,282.13,1,5,1,5,1
13.0,0,7.0,188.89,1,6,0,2,1
11.0,1,2.0,143.17,2,1,0,2,2
19.0,0,9.0,161.97,1,6,1,2,1
1.0,1,1.0,149.72,1,4,1,4,2
6.0,1,2.0,127.99000000000001,2,6,1,3,2
1.0,0,2.0,173.83,1,4,1,2,0
1.0,0,2.0,145.45,2,3,1,4,2
0.0,0,7.0,125.69999999999999,0,0,1,3,2
12.0,0,3.0,187.88,0,4,1,2,1
1.0,1,8.0,148.94,2,4,0,4,2
15.0,0,0.0,139.68,2,4,1,4,2
14.0,1,8.0,152.41,1,3,1,2,1
13.0,0,3.0,209.32,0,6,1,0,1
10.0,0,3.0,221.19,1,3,1,0,2
1.0,1,4.0,186.42,1,4,1,2,1
28.0,0,8.0,299.26,1,3,0,1,1
20.0,0,9.0,148.39,2,1,1,4,1
1.0,0,3.0,212.93,0,4,1,0,1
11.0,0,18.0,155.34,1,4,0,4,1
3.0,0,4.0,164.04,1,3,1,4,2
8.0,0,1.0,145.08,2,4,1,4,1
1.0,0,3.0,223.24,0,4,1,0,0
3.0,0,2.0,168.35,1,3,0,2,1
14.0,1,2.0,160.32,1,3,1,2,2
1.0,0,3.0,145.44,2,3,0,4,2
6.0,0,2.0,153.37,1,4,0,4,2
10.0,0,2.0,139.2,2,3,0,4,1
0.0,0,0.0,123.50999999999999,0,5,0,3,1
10.0,1,13.0,179.1,1,4,0,2,2
24.0,1,6.0,264.73,1,4,1,1,0
23.0,0,1.0,234.64999999999998,1,6,1,0,2
9.0,0,2.0,128.1,0,4,1,3,1
9.0,1,3.0,172.88,1,6,0,2,1
11.0,1,4.0,152.82,1,4,0,4,1
4.0,1,1.0,188.8,1,5,1,2,0
9.0,1,3.0,121.27000000000001,2,0,1,3,0
4.0,1,8.0,239.16000000000003,1,4,0,0,0
19.0,0,8.0,317.02,1,6,1,5,0
25.0,0,8.0,249.89999999999998,1,4,1,0,1
6.0,0,9.0,178.96,1,5,1,2,2
0.0,0,7.0,152.94,1,4,1,2,1
9.0,1,8.0,120.22,0,4,0,3,1
25.0,0,4.0,131.49,2,4,0,2,0
0.0,0,7.0,152.96,1,4,1,2,1
2.0,1,6.0,172.79,1,5,0,2,1
1.0,0,2.0,174.5,1,4,1,2,2
4.0,0,8.0,206.48000000000002,1,4,1,0,1
11.0,1,7.0,187.4,1,5,1,0,1
14.0,0,17.0,293.23,1,4,1,1,1
30.0,0,2.0,236.02999999999997,1,3,1,1,1
30.0,1,3.0,219.04000000000002,1,2,1,0,1
15.0,0,2.0,125.75999999999999,2,4,0,3,1
19.0,1,9.0,261.95,1,5,1,1,2
15.0,0,4.0,231.5,0,4,1,0,2
0.0,0,2.0,133.75,2,4,1,3,2
0.0,0,2.0,146.21,0,4,1,4,1
11.0,0,5.0,140.28,2,5,0,2,2
19.0,0,4.0,159.52,1,3,1,4,2
1.0,0,3.0,153.11,1,1,0,4,0
25.0,0,8.0,270.99,1,4,1,1,0
10.0,0,3.0,134.52,2,0,0,3,0
21.0,0,8.0,174.6,1,5,1,2,2
17.0,1,7.0,178.79,1,4,0,0,1
9.0,0,1.0,122.88,2,4,0,3,2
2.0,1,3.0,140.25,2,6,1,2,1
14.0,0,9.0,262.57,0,3,1,0,1
1.0,0,4.0,149.36,2,3,1,4,1
10.0,0,3.0,141.89,2,5,1,2,1
0.0,0,2.0,142.27,2,4,0,2,1
13.0,1,7.0,264.37,1,3,1,1,2
11.0,0,3.0,161.29,1,3,0,4,2
18.0,1,0.0,232.45,1,6,1,0,1
0.0,1,2.0,137.22,0,4,1,4,1
10.0,0,4.0,145.13,2,4,1,4,2
1.0,0,1.0,150.34,1,3,0,4,1
22.0,0,3.0,279.02,1,4,0,1,1
18.0,0,8.0,136.97,2,6,1,2,0
13.0,1,7.0,264.37,1,3,1,1,2
19.0,0,0.0,125.87,2,4,1,3,2
21.0,1,14.0,262.7,0,3,0,1,1
19.0,0,7.0,204.53,1,5,0,0,1
19.0,0,3.0,213.65,0,3,0,0,2
25.0,1,4.0,179.69,1,3,1,0,0
16.0,1,1.0,175.87,1,5,1,2,1
9.0,0,3.0,217.13,0,4,0,0,1
28.0,0,15.0,287.22,1,3,1,5,2
23.0,1,5.0,239.73000000000002,1,4,1,1,0
17.0,0,8.0,181.75,0,4,1,2,1
30.0,1,10.0,259.02,1,4,1,1,1
0.0,1,3.0,144.87,2,4,0,2,2
6.0,0,0.0,124.96000000000001,2,0,1,3,2
1.0,0,7.0,145.96,2,3,1,4,0
1.0,0,1.0,154.66,1,6,0,4,2
15.0,0,8.0,144.34,2,4,1,2,0
21.0,0,1.0,174.78,0,5,1,2,1
18.0,1,8.0,203.79,1,4,0,0,1
1.0,1,2.0,152.95,1,4,1,4,2
8.0,0,8.0,178.23,1,4,1,0,1
27.0,0,12.0,260.32,0,3,0,1,1
1.0,1,5.0,171.47,0,3,0,2,1
0.0,0,4.0,138.16,2,3,1,4,1
28.0,0,13.0,285.32,0,3,0,1,1
7.0,0,7.0,153.37,1,4,1,2,2
6.0,1,10.0,177.28,1,1,0,2,0
1.0,0,3.0,171.17,1,4,1,2,2
1.0,0,1.0,142.9,0,5,1,4,1
28.0,0,10.0,302.79,1,4,1,1,0
20.0,0,2.0,303.61,1,4,1,1,1
15.0,1,1.0,260.91,1,4,0,0,2
1.0,1,3.0,159.41,1,1,1,4,2
30.0,0,3.0,197.6,1,4,1,0,2
9.0,1,7.0,183.21,1,4,1,0,1
6.0,0,10.0,187.2,1,4,1,2,1
0.0,0,7.0,174.46,0,4,0,0,2
1.0,1,5.0,171.47,0,3,0,2,1
10.0,0,7.0,142.85,2,3,1,2,1
9.0,0,3.0,149.3,2,4,0,4,1
24.0,0,3.0,161.9,1,3,1,4,1
14.0,0,4.0,190.13,1,4,0,2,1
17.0,1,9.0,203.47,1,3,1,2,1
9.0,0,2.0,151.9,1,4,1,4,1
29.0,0,3.0,234.76,0,4,1,0,0
15.0,0,9.0,158.76,1,1,0,4,1
5.0,0,7.0,150.55,1,3,0,2,2
24.0,0,4.0,301.39,1,3,1,1,0
12.0,0,7.0,176.54,1,5,0,0,0
31.0,1,5.0,244.04000000000002,1,2,1,0,1
15.0,1,2.0,165.45,1,4,0,2,2
2.0,0,3.0,209.63,1,3,1,2,2
1.0,0,8.0,177.96,1,4,1,2,0
19.0,1,3.0,169.77,1,3,0,4,1
18.0,1,3.0,153.18,1,4,1,4,1
23.0,0,5.0,170.07,1,5,0,2,2
9.0,0,0.0,117.9,0,5,1,4,1
1.0,0,3.0,167.33,1,3,1,2,1
1.0,1,1.0,149.72,1,4,1,4,2
9.0,0,3.0,212.89,0,5,0,0,2
9.0,0,2.0,153.47,1,4,1,2,1
30.0,1,4.0,194.39,1,4,1,0,1
8.0,0,10.0,184.57,1,4,1,2,0
8.0,0,0.0,153.63,1,3,0,2,1
23.0,0,3.0,172.89,1,3,0,2,0
9.0,1,7.0,156.73,1,1,0,2,1
14.0,1,3.0,229.75,0,4,1,0,0
3.0,0,3.0,147.01,2,4,1,4,2
6.0,0,9.0,179.84,1,4,1,2,0
1.0,0,4.0,172.74,0,4,0,4,1
12.0,0,3.0,185.77,0,6,1,2,1
10.0,0,1.0,161.88,0,4,1,4,1
0.0,0,0.0,128.71,2,0,0,3,2
1.0,0,1.0,172.77,1,3,0,2,0
28.0,1,2.0,140.35,2,4,1,2,1
18.0,0,1.0,172.68,0,5,0,2,0
4.0,0,2.0,196.37,0,5,0,0,1
1.0,0,1.0,170.77,1,4,0,2,2
9.0,0,3.0,149.3,2,4,0,4,1
10.0,1,3.0,213.47,1,3,1,2,1
14.0,0,10.0,319.36,1,3,1,5,1
16.0,0,10.0,292.99,1,6,0,1,0
1.0,0,4.0,154.6,1,3,1,4,2
1.0,1,3.0,224.07,1,5,1,2,2
9.0,0,4.0,122.38,2,4,1,3,1
12.0,0,7.0,130.69,2,0,1,2,1
11.0,0,1.0,154.73,0,3,0,4,0
13.0,0,2.0,148.76,0,4,1,2,1
1.0,0,3.0,153.11,1,1,0,4,1
23.0,0,3.0,204.96,1,2,1,0,2
10.0,0,1.0,165.02,1,3,1,2,0
